run_timestamp,run_label,version,temperature,threshold,dataset_size,success_rate,successes,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate
20260308_182619,smoke-test,baseline,0.0,0.3,5,0.8,4,0.0,0.0,0.0,5.141,0.0,0.0
20260308_182619,smoke-test,with_monitoring,0.0,0.3,5,0.6,3,0.4,0.66,-0.26,4.914,0.8,0.8
20260308_183132,smoke-test-2,baseline,0.0,0.6,5,0.8,4,0.0,0.0,0.0,1.606,0.0,0.0
20260308_183132,smoke-test-2,with_monitoring,0.0,0.6,5,0.8,4,0.4,0.2,0.2,2.532,0.0,0.0
20260308_183756,baseline-t0.0,baseline,0.0,0.6,50,0.68,34,0.0,0.0,0.0,1.543,0.0,0.0
20260308_183917,baseline-t0.3,baseline,0.3,0.6,50,0.7,35,0.0,0.02,0.0,1.541,0.0,0.0
20260308_184038,baseline-t0.7,baseline,0.7,0.6,50,0.7,35,0.0,0.14,0.0,70.038,0.0,0.0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,50,0.68,34,0.404,0.06,0.344,2.437,0.0,0.0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,50,0.68,34,0.404,0.06,0.344,2.425,0.0,0.0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,50,0.5,25,0.404,0.308,0.096,3.924,0.74,0.74
20260308_194635,mon-t0.3-th0.6,with_monitoring,0.3,0.6,50,0.68,34,0.389,0.126,0.263,2.66,0.1,0.1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,50,0.66,33,0.357,0.278,0.079,2.912,0.16,0.16
20260403_232631,phase3-mon-t0.0-th0.4-r1,with_monitoring,0.0,0.4,100,0.57,57,0.64,0.561,0.079,372.968,0.96,0.3,0.66
20260404_094815,phase3-mon-t0.0-th0.5-r1,with_monitoring,0.0,0.5,100,0.57,57,0.64,0.579,0.061,11.343,0.7,0.26,0.44
20260404_100715,phase3-mon-t0.0-th0.6-r1,with_monitoring,0.0,0.6,100,0.57,57,0.64,0.593,0.047,9.21,0.47,0.21,0.26
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,100,0.58,58,0.643,0.563,0.08,13.505,0.96,0.33,0.63
20260404_104518,phase3-mon-t0.3-th0.5-r1,with_monitoring,0.3,0.5,100,0.6,60,0.636,0.579,0.057,43.041,0.68,0.27,0.41
20260404_115708,phase3-mon-t0.3-th0.6-r1,with_monitoring,0.3,0.6,100,0.59,59,0.64,0.588,0.052,28.592,0.48,0.21,0.27
20260404_143006,phase3-mon-t0.7-th0.4-r1,with_monitoring,0.7,0.4,100,0.54,54,0.642,0.577,0.065,13.225,0.96,0.27,0.69
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,100,0.57,57,0.648,0.581,0.067,11.182,0.72,0.34,0.38
20260404_151057,phase3-mon-t0.7-th0.6-r1,with_monitoring,0.7,0.6,100,0.56,56,0.66,0.606,0.054,9.625,0.52,0.21,0.31
20260404_161611,phase3-mon-t0.0-th0.4-r2,with_monitoring,0.0,0.4,100,0.57,57,0.64,0.561,0.079,13.744,0.96,0.3,0.66
20260404_163911,phase3-mon-t0.0-th0.5-r2,with_monitoring,0.0,0.5,100,0.57,57,0.64,0.579,0.061,11.353,0.7,0.26,0.44
20260404_165817,phase3-mon-t0.0-th0.6-r2,with_monitoring,0.0,0.6,100,0.57,57,0.64,0.593,0.047,9.094,0.47,0.21,0.26
20260404_194806,phase3-mon-t0.3-th0.4-r2,with_monitoring,0.3,0.4,100,0.59,59,0.641,0.552,0.089,13.175,0.96,0.32,0.64
20260404_201009,phase3-mon-t0.3-th0.5-r2,with_monitoring,0.3,0.5,100,0.58,58,0.645,0.59,0.055,11.424,0.7,0.24,0.46
20260404_202917,phase3-mon-t0.3-th0.6-r2,with_monitoring,0.3,0.6,100,0.57,57,0.641,0.596,0.045,9.478,0.48,0.18,0.3
20260404_204510,phase3-mon-t0.7-th0.4-r2,with_monitoring,0.7,0.4,100,0.53,53,0.642,0.569,0.073,13.33,0.95,0.35,0.6
20260404_210729,phase3-mon-t0.7-th0.5-r2,with_monitoring,0.7,0.5,100,0.57,57,0.651,0.579,0.072,11.881,0.72,0.3,0.42
20260404_212723,phase3-mon-t0.7-th0.6-r2,with_monitoring,0.7,0.6,100,0.52,52,0.641,0.603,0.038,9.25,0.46,0.19,0.27
20260404_215946,phase3-mon-t0.0-th0.4-r3,with_monitoring,0.0,0.4,100,0.57,57,0.64,0.561,0.079,13.128,0.96,0.3,0.66
20260404_222145,phase3-mon-t0.0-th0.5-r3,with_monitoring,0.0,0.5,100,0.57,57,0.64,0.579,0.061,11.358,0.7,0.26,0.44
20260404_224046,phase3-mon-t0.0-th0.6-r3,with_monitoring,0.0,0.6,100,0.57,57,0.64,0.593,0.047,9.094,0.47,0.21,0.26
20260404_225601,phase3-mon-t0.3-th0.4-r3,with_monitoring,0.3,0.4,100,0.55,55,0.642,0.565,0.077,12.495,0.96,0.29,0.67
20260404_231655,phase3-mon-t0.3-th0.5-r3,with_monitoring,0.3,0.5,100,0.58,58,0.638,0.577,0.061,10.891,0.68,0.28,0.4
20260404_233510,phase3-mon-t0.3-th0.6-r3,with_monitoring,0.3,0.6,100,0.56,56,0.645,0.61,0.035,8.622,0.45,0.16,0.29
20260404_234951,phase3-mon-t0.7-th0.4-r3,with_monitoring,0.7,0.4,100,0.54,54,0.64,0.588,0.052,13.338,0.97,0.24,0.73
20260405_001230,phase3-mon-t0.7-th0.5-r3,with_monitoring,0.7,0.5,100,0.55,55,0.648,0.585,0.063,11.602,0.75,0.33,0.42
20260405_003155,phase3-mon-t0.7-th0.6-r3,with_monitoring,0.7,0.6,100,0.57,57,0.637,0.607,0.03,8.644,0.43,0.15,0.28
